,stabilizer.yaw,stateEstimate.z,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz,time
0,90.03240966796875,0.17546769976615906,0.05319969728589058,0.047257740050554276,-0.0023749705869704485,26078
1,90.03479766845703,0.1760258674621582,0.054242655634880066,0.04748927056789398,-0.0017986667808145285,26178
2,90.0411148071289,0.17668074369430542,0.055543478578329086,0.05528092756867409,-0.0031142602674663067,26278
3,90.59603881835938,0.1779307723045349,0.05791115760803223,0.06805621087551117,-0.008510259911417961,26378
4,90.91970825195312,0.1813475787639618,0.05171460285782814,0.08978545665740967,0.08966727554798126,26478
5,91.39591217041016,0.1894022673368454,0.04494922235608101,0.1411382406949997,0.2164446860551834,26578
6,91.46391296386719,0.22099512815475464,0.018747230991721153,0.14798419177532196,0.28761154413223267,26678
7,91.37377166748047,0.22312815487384796,0.030388887971639633,0.12096012383699417,0.25096791982650757,26778
8,91.50349426269531,0.22747871279716492,0.002103895414620638,0.07872453331947327,0.20876695215702057,26878
9,91.67801666259766,0.237359419465065,-0.005558547098189592,0.0631859079003334,0.17421260476112366,26978
10,91.79217529296875,0.2619483470916748,0.030546776950359344,0.06956160068511963,0.18254032731056213,27078
11,91.85987091064453,0.30132126808166504,0.0688309296965599,0.08154327422380447,0.20515555143356323,27178
12,91.90731048583984,0.33812251687049866,0.11206560581922531,0.09069716185331345,0.2214030921459198,27278
13,91.92217254638672,0.37432846426963806,0.14195512235164642,0.08783537894487381,0.22460760176181793,27378
14,91.96842193603516,0.4021785259246826,0.14758794009685516,0.07329566031694412,0.20307841897010803,27478
15,91.96473693847656,0.4332505166530609,0.14838990569114685,0.05633606016635895,0.19674991071224213,27578
16,91.95494842529297,0.46633923053741455,0.1417703777551651,0.040170036256313324,0.19916172325611115,27678
17,91.89727783203125,0.49785950779914856,0.13114222884178162,0.023923827335238457,0.1976543813943863,27778
18,91.84434509277344,0.5018944144248962,0.11047423630952835,-0.005074519198387861,0.17765039205551147,27878
19,91.8320083618164,0.5300160050392151,0.10684464126825333,-0.0043956381268799305,0.15906985104084015,27978
20,91.69985961914062,0.5512872934341431,0.09521868824958801,0.001504889689385891,0.15641680359840393,28078
21,91.64874267578125,0.5742086172103882,0.07268095761537552,0.013494309969246387,0.1533295214176178,28178
22,91.55016326904297,0.5924643874168396,0.04514991119503975,0.025053074583411217,0.13491012156009674,28278
23,91.46685028076172,0.601693332195282,0.011094647459685802,0.03444889932870865,0.11315174400806427,28378
24,91.37696838378906,0.5938715934753418,-0.037184130400419235,0.02546968124806881,0.10765136778354645,28478
25,91.25205993652344,0.5999869704246521,-0.057174600660800934,0.0347057543694973,0.11513036489486694,28578
26,91.14939880371094,0.6132494807243347,-0.06168213486671448,0.06645946204662323,0.12564583122730255,28678
27,91.0677490234375,0.6207065582275391,-0.0484178401529789,0.08646740019321442,0.1234455332159996,28778
28,90.99986267089844,0.642038881778717,-0.056063100695610046,0.1178354024887085,0.1490040123462677,28878
29,90.98389434814453,0.6738949418067932,-0.06097933277487755,0.15118427574634552,0.15458279848098755,28978
30,90.9409408569336,0.6920522451400757,-0.019245343282818794,0.19117550551891327,0.14837118983268738,29078
31,90.8819808959961,0.673627495765686,0.004553419072180986,0.16779205203056335,0.11515279114246368,29178
32,90.78343200683594,0.6608495712280273,0.057612109929323196,0.1263922154903412,0.07909418642520905,29278
33,90.73047637939453,0.6645416617393494,0.11434635519981384,0.09844055026769638,0.07697027176618576,29378
34,90.7365951538086,0.636326253414154,0.12792396545410156,0.039894018322229385,0.07029539346694946,29478
35,90.716552734375,0.601784884929657,0.13081860542297363,-0.009849011898040771,0.07681004703044891,29578
36,90.59400939941406,0.631738007068634,0.11775476485490799,-0.022323545068502426,0.12561458349227905,29678
37,90.55207824707031,0.5652199387550354,-0.054694533348083496,-0.13758598268032074,0.10058730840682983,29778
38,90.65746307373047,0.5295817255973816,-0.12551070749759674,-0.1578233689069748,0.10147568583488464,29878
39,90.78997802734375,0.512103259563446,-0.020097874104976654,-0.06276411563158035,0.11691836267709732,29978
40,90.85051727294922,0.4953964054584503,0.18925511837005615,0.07531946152448654,0.13100004196166992,30078
41,90.5412826538086,0.5046855211257935,0.3852956295013428,0.19750550389289856,0.16049370169639587,30178
42,90.4540023803711,0.5384483337402344,0.5157033801078796,0.2959544062614441,0.2316957265138626,30278
43,90.48406982421875,0.5961177945137024,0.5696297287940979,0.3514140546321869,0.29367250204086304,30378
44,90.75401306152344,0.6601887345314026,0.5383917689323425,0.35059937834739685,0.31204476952552795,30478
45,91.10224914550781,0.7092633247375488,0.4484451711177826,0.2977240979671478,0.2702580690383911,30578
46,90.8717269897461,0.7388823628425598,0.32651829719543457,0.20965519547462463,0.18751177191734314,30678
47,90.4199447631836,0.758359432220459,0.17481714487075806,0.11875460296869278,0.1289125680923462,30778
48,89.98096466064453,0.7748469710350037,0.0072343237698078156,0.034442003816366196,0.09229889512062073,30878
49,89.87004852294922,0.7891798615455627,-0.15297891199588776,-0.025181908160448074,0.05866974964737892,30978
50,89.92962646484375,0.7986239194869995,-0.2762486934661865,-0.07052154093980789,0.061702609062194824,31078
51,89.97586059570312,0.7885360717773438,-0.34378698468208313,-0.10381167382001877,0.07293916493654251,31178
52,89.92603302001953,0.8042004704475403,-0.35393205285072327,-0.09381693601608276,0.08578945696353912,31278
53,90.00198364257812,0.8247489333152771,-0.2740939259529114,-0.06594778597354889,0.10052205622196198,31378
54,90.06084442138672,0.8321533799171448,-0.1893518567085266,-0.040605079382658005,0.09683176875114441,31478
55,90.10745239257812,0.8541689515113831,-0.1188013106584549,-0.009016484022140503,0.09033918380737305,31578
56,90.14637756347656,0.8603293895721436,-0.04742264747619629,0.00280957855284214,0.08606858551502228,31678
57,90.14366912841797,0.8673301339149475,-0.0008732854039408267,0.006217281799763441,0.06615936011075974,31778
58,90.21617126464844,0.8938241004943848,0.04986320436000824,0.014440439641475677,0.07633175700902939,31878
59,90.35391998291016,0.9213249087333679,0.09733252972364426,0.01969444565474987,0.0729864239692688,31978
60,90.3724136352539,0.9449572563171387,0.13538694381713867,0.014514366164803505,0.06421399116516113,32078
61,90.4764404296875,0.9458812475204468,0.12806551158428192,-0.017193781211972237,0.0436607263982296,32178
62,90.51139068603516,0.9193037748336792,0.09534911811351776,-0.06632356345653534,-0.1414787769317627,32278
63,90.22032165527344,0.884397029876709,0.06937029957771301,-0.09480472654104233,-0.378358393907547,32378
64,89.99989318847656,0.8544780611991882,0.07276112586259842,-0.089814193546772,-0.5094472169876099,32478
65,89.93238830566406,0.8092535734176636,0.07258342951536179,-0.07792836427688599,-0.5377863645553589,32578
66,89.92721557617188,0.7562499046325684,0.0796152874827385,-0.05229763314127922,-0.5008460283279419,32678
67,89.98603820800781,0.7204264402389526,0.1001981794834137,-0.01729322411119938,-0.43974483013153076,32778
68,90.09498596191406,0.6944103837013245,0.125671848654747,0.02464977279305458,-0.4008791744709015,32878
69,90.18579864501953,0.6718382835388184,0.13262201845645905,0.04071424528956413,-0.37298187613487244,32978
70,90.26922607421875,0.6332408785820007,0.12311484664678574,0.015051109716296196,-0.37029749155044556,33078
71,90.3528823852539,0.5794247388839722,0.0692342072725296,-0.033198386430740356,-0.3735847473144531,33178
72,90.26994323730469,0.5287447571754456,0.014828788116574287,-0.07455424219369888,-0.36202239990234375,33278
73,90.13490295410156,0.48553037643432617,-0.02492769993841648,-0.09525954723358154,-0.33070889115333557,33378
74,90.0505142211914,0.4563828110694885,-0.02407095395028591,-0.08481708914041519,-0.30297163128852844,33478
75,90.03733825683594,0.4226992130279541,0.002817529020830989,-0.06045914813876152,-0.27041134238243103,33578
76,90.01892852783203,0.39071789383888245,0.0407465435564518,-0.03051241673529148,-0.24108025431632996,33678
77,89.99613952636719,0.3634885251522064,0.07923483848571777,0.007806610781699419,-0.2213682383298874,33778
78,89.94654846191406,0.320656418800354,0.09906260669231415,0.038230765610933304,-0.22545315325260162,33878
79,89.89845275878906,0.28973832726478577,0.11172480881214142,0.06820763647556305,-0.19958697259426117,33978
80,89.75921630859375,0.25052157044410706,0.10859428346157074,0.08421315997838974,-0.1803942322731018,34078
81,89.95906066894531,0.2180762141942978,0.10602658241987228,0.09383752197027206,-0.15100522339344025,34178
82,90.04466247558594,0.20694313943386078,0.09680087864398956,0.11907999962568283,-0.08975767344236374,34278
83,89.70719146728516,0.18461579084396362,0.05284874886274338,0.12141023576259613,-0.041416607797145844,34378
84,89.57525634765625,0.1419810801744461,0.03555909916758537,0.09867365658283234,-0.018189135938882828,34478
85,89.76508331298828,0.1084546446800232,0.030287835747003555,0.08867400139570236,-0.027854779735207558,34578
86,89.90635681152344,0.07931499183177948,0.04194694384932518,0.07200072705745697,0.0038560449611395597,34678
87,89.93421936035156,0.0512227788567543,0.05634265020489693,0.0620705708861351,0.006137116812169552,34778
88,89.87403106689453,0.05844571068882942,0.034834712743759155,0.0940796509385109,0.04447115585207939,34878
